acct_nbr,rtxn_nbr,cust_cd,tran_amt,post_dt,data_dt,cust_type,mjaccttypcd,rtxnsourcecd,accttypcd,term_cd,branch_acct,currencycd,miaccttypcd,mjmidesc,branch_thgd,is_cash,created_at,intrtxndesctext,mcc
699d71f8-cc8b-4,11,523e623b-529c-4307-a825-6a7ef3f4eac0,1084457,20240129,20240131,CN,CK,MAPP,TGTT,KKH,1000,VND,G270,TKTT FIRST KHTN (CN) VND,1042,0,20240103,MUA TREN SHOPEE,7311
954bb920-d323-4,12,de4eb8a7-082b-4a7c-852d-043e26b30224,3338656,20240102,20240131,CN,CK,MAPP,TGTT,KKH,1002,VND,G270,TKTT FIRST KHTN (CN) VND,1033,0,20240130,XEM PHIM CGV,4900
0ef79fd2-45ec-4,13,e40b9419-76b1-4483-9743-f84e2dc13968,-294642,20240125,20240131,CN,SAV,ONLI,TGTT,KKH,1037,VND,G270,TKTT FIRST KHTN (CN) VND,1044,0,20240125,CUOC GRAB,7311
38b64a4b-8faf-4,14,38188f9d-ead2-428f-9618-2d8c2627cc7d,2884862,20240116,20240131,CN,SAV,MAPP,TGTT,KKH,1037,VND,G270,TKTT FIRST KHTN (CN) VND,1024,0,20240104,BOOK PHONG AGODA,4722
4fa71ca3-a1fb-4,15,da435ba2-14b6-43f8-a7d9-8974ad0d524e,1465335,20240102,20240131,CN,SAV,MAPP,TGTT,KKH,1033,VND,G270,TKTT FIRST KHTN (CN) VND,1033,0,20240108,THANH TOAN XANH SM,5411
71f89623-e9c8-4,16,6a4e609e-cab3-4392-8832-de7652a5575d,-4713553,20240103,20240131,CN,CK,BRANCH,TGTT,KKH,1030,VND,G270,TKTT FIRST KHTN (CN) VND,1045,0,20240101,CUOC GRAB,4722
b26df75b-40cd-4,17,d5a4052d-5c7a-4f89-809d-891ec70c85a5,4487576,20240131,20240131,CN,CK,ONLI,TGTT,KKH,1007,VND,G270,TKTT FIRST KHTN (CN) VND,1047,0,20240110,MUA TREN SHOPEE,7311
29873f18-e83c-4,18,dac1fb7b-fe0a-4965-abd7-0f6e19c37bb3,3609195,20240112,20240131,CN,CK,BRANCH,TGTT,KKH,1024,VND,G270,TKTT FIRST KHTN (CN) VND,1000,0,20240112,XEM PHIM CGV,7311
d0c0fd60-c7b5-4,19,c3537c17-3b28-4053-b43b-2d68e510e601,4534073,20240101,20240131,CN,SAV,ONLI,TGTT,KKH,1027,VND,G270,TKTT FIRST KHTN (CN) VND,1013,0,20240131,CHUYEN KHOAN QUA APP,4900
505f47c5-8be0-4,20,55ed0f30-9d1c-43a1-b4e4-f40a1e236d57,2313659,20240115,20240131,CN,SAV,WWW,TGTT,KKH,1024,VND,G270,TKTT FIRST KHTN (CN) VND,1031,0,20240120,XEM PHIM CGV,4121
3be5656d-8bff-4,21,0fe55979-cae6-4454-bc4f-b40fbe345021,-879390,20240129,20240131,CN,SAV,MAPP,TGTT,KKH,1000,VND,G270,TKTT FIRST KHTN (CN) VND,1028,0,20240124,CUOC GRAB,4722
1d8bbb3d-4617-4,22,b1b345de-d429-4c64-8b83-60239738b1ef,-2930147,20240101,20240131,CN,CK,MAPP,TGTT,KKH,1015,VND,G270,TKTT FIRST KHTN (CN) VND,1047,0,20240108,XEM PHIM CGV,4121
ed1a3731-bc3e-4,23,9969af48-979b-4662-aa98-33ab183f00af,-3200036,20240101,20240131,CN,CK,WWW,TGTT,KKH,1002,VND,G270,TKTT FIRST KHTN (CN) VND,1018,0,20240116,XEM PHIM CGV,7311
3abebd94-8ada-4,24,1e76f3e5-14f7-447e-971d-a9f3e9516a24,-3550837,20240115,20240131,CN,CK,ONLI,TGTT,KKH,1042,VND,G270,TKTT FIRST KHTN (CN) VND,1029,0,20240126,CUOC GRAB,7311
15d9aae0-ce80-4,25,27826513-9e5a-4e23-a758-c42c832908cc,-2793903,20240126,20240131,CN,SAV,MAPP,TGTT,KKH,1047,VND,G270,TKTT FIRST KHTN (CN) VND,1022,0,20240121,MUA TREN SHOPEE,0000
b9e7c3bc-d988-4,26,d46c7cf0-0492-43c7-8194-214955d26050,506360,20240103,20240131,CN,SAV,BRANCH,TGTT,KKH,1036,VND,G270,TKTT FIRST KHTN (CN) VND,1004,0,20240107,MUA TREN SHOPEE,4722
0eeee4df-4606-4,27,1d81c18e-3788-4e28-958f-233bd6705f25,1837450,20240114,20240131,CN,SAV,MAPP,TGTT,KKH,1047,VND,G270,TKTT FIRST KHTN (CN) VND,1022,0,20240125,MUA TREN SHOPEE,0000
128d792f-50a5-4,28,034433d5-dc81-4f04-8994-98233e9cd343,-1859434,20240122,20240131,CN,SAV,MAPP,TGTT,KKH,1013,VND,G270,TKTT FIRST KHTN (CN) VND,1034,0,20240119,XEM PHIM CGV,5411
c7d91a5e-bdee-4,29,77305e12-cd07-42e7-94ba-59be18800bdf,487469,20240110,20240131,CN,CK,ONLI,TGTT,KKH,1013,VND,G270,TKTT FIRST KHTN (CN) VND,1006,0,20240103,XEM PHIM CGV,4722
e0d1ba64-60e3-4,30,fe531779-78b5-454a-84e5-62859e3cf95c,-1587473,20240103,20240131,CN,CK,ONLI,TGTT,KKH,1041,VND,G270,TKTT FIRST KHTN (CN) VND,1030,0,20240111,BOOK PHONG AGODA,5812
ed48a6d2-6828-4,31,35201866-f941-464a-9b25-c9940c112a42,1965099,20240120,20240131,CN,SAV,MAPP,TGTT,KKH,1048,VND,G270,TKTT FIRST KHTN (CN) VND,1013,0,20240108,CUOC GRAB,7311
f47adcbd-76ec-4,32,6ddc8f69-f985-495d-afb3-50ba5b2e20e3,4884862,20240118,20240131,CN,CK,ONLI,TGTT,KKH,1048,VND,G270,TKTT FIRST KHTN (CN) VND,1026,0,20240120,CUOC GRAB,0000
e6882843-7cfd-4,33,53103d9e-1f5d-4032-9d24-2cda074eefad,1890169,20240123,20240131,CN,SAV,ONLI,TGTT,KKH,1039,VND,G270,TKTT FIRST KHTN (CN) VND,1049,0,20240103,BOOK PHONG AGODA,7311
4a14c5c6-0411-4,34,7fd757d4-ff2f-4d1d-95ed-1fe47966b98c,-4409694,20240104,20240131,CN,CK,ONLI,TGTT,KKH,1014,VND,G270,TKTT FIRST KHTN (CN) VND,1039,0,20240131,THANH TOAN XANH SM,4121
0f471112-2f51-4,35,a210a5a4-56b6-41da-bb8a-3b1b4ee84a77,-227650,20240127,20240131,CN,SAV,WWW,TGTT,KKH,1022,VND,G270,TKTT FIRST KHTN (CN) VND,1022,0,20240111,CHUYEN KHOAN QUA APP,0000
97bf368e-b661-4,36,928d1a97-82a2-476f-9fb6-32e11187075d,2703874,20240117,20240131,CN,CK,MAPP,TGTT,KKH,1001,VND,G270,TKTT FIRST KHTN (CN) VND,1043,0,20240126,MUA TREN SHOPEE,5812
251005ad-cf89-4,37,d00730a4-c9bd-4404-9ba9-9a5b24e74429,422416,20240120,20240131,CN,CK,MAPP,TGTT,KKH,1027,VND,G270,TKTT FIRST KHTN (CN) VND,1025,0,20240125,CHUYEN KHOAN QUA APP,5411
0fa783f7-1b0c-4,38,0a7cd6fa-ba74-4301-9ac1-f03dd50973c0,4510630,20240104,20240131,CN,CK,ONLI,TGTT,KKH,1042,VND,G270,TKTT FIRST KHTN (CN) VND,1006,0,20240112,MUA TREN SHOPEE,7311
00c5dfdb-732e-4,39,a8eed07d-41a1-4da7-b1bb-069332b5328a,-4452283,20240115,20240131,CN,SAV,ONLI,TGTT,KKH,1038,VND,G270,TKTT FIRST KHTN (CN) VND,1020,0,20240110,CUOC GRAB,4121
e61defe3-210e-4,40,0ac9a6a6-67b8-4b3d-9449-e05d440f3682,-2088444,20240111,20240131,CN,CK,MAPP,TGTT,KKH,1010,VND,G270,TKTT FIRST KHTN (CN) VND,1023,0,20240110,BOOK PHONG AGODA,4900
a483e253-1f59-4,41,500e075b-adbe-46d7-8a72-5bb8647e1b0c,-2792818,20240103,20240131,CN,SAV,WWW,TGTT,KKH,1026,VND,G270,TKTT FIRST KHTN (CN) VND,1016,0,20240114,THANH TOAN XANH SM,4722
5aa025a6-9aae-4,42,343af2ad-a1e8-4672-9c9d-d70af1bc832b,2676222,20240124,20240131,CN,CK,ONLI,TGTT,KKH,1021,VND,G270,TKTT FIRST KHTN (CN) VND,1042,0,20240112,CHUYEN KHOAN QUA APP,4900
189108b3-f1fb-4,43,148159e3-46fb-4e86-b224-3e80bab2d982,237930,20240107,20240131,CN,CK,ONLI,TGTT,KKH,1013,VND,G270,TKTT FIRST KHTN (CN) VND,1008,0,20240110,XEM PHIM CGV,5812
f7012173-fe7f-4,44,0ac9a6a6-67b8-4b3d-9449-e05d440f3682,-3616557,20240110,20240131,CN,SAV,MAPP,TGTT,KKH,1016,VND,G270,TKTT FIRST KHTN (CN) VND,1014,0,20240108,CUOC GRAB,5411
9d2f6b16-f2ed-4,45,2816d740-56ab-4771-bb1e-9ab9c272e32a,-2144067,20240126,20240131,CN,CK,WWW,TGTT,KKH,1038,VND,G270,TKTT FIRST KHTN (CN) VND,1046,0,20240113,BOOK PHONG AGODA,4722
95f3cc2c-bf41-4,46,bdd299c7-d210-47e2-9344-ec6bb18bc2df,226593,20240119,20240131,CN,SAV,MAPP,TGTT,KKH,1001,VND,G270,TKTT FIRST KHTN (CN) VND,1003,0,20240122,THANH TOAN XANH SM,4722
6ec53011-a5de-4,47,cdfc4b01-be29-4f7f-a787-76a1193fe8fb,4961289,20240120,20240131,CN,CK,ONLI,TGTT,KKH,1029,VND,G270,TKTT FIRST KHTN (CN) VND,1023,0,20240120,MUA TREN SHOPEE,4121
ffd8ebea-7761-4,48,0fe55979-cae6-4454-bc4f-b40fbe345021,-1357076,20240108,20240131,CN,CK,BRANCH,TGTT,KKH,1028,VND,G270,TKTT FIRST KHTN (CN) VND,1030,0,20240115,MUA TREN SHOPEE,0000
dd32e66f-651d-4,49,874aae77-d2fe-422a-a5ef-b4dd4bb6da05,-3431739,20240115,20240131,CN,CK,MAPP,TGTT,KKH,1038,VND,G270,TKTT FIRST KHTN (CN) VND,1011,0,20240117,THANH TOAN XANH SM,4900
f5b30fe7-fca8-4,50,326cb0de-35c2-47ec-a12a-f7bc054b0dab,-29334,20240113,20240131,CN,SAV,MAPP,TGTT,KKH,1049,VND,G270,TKTT FIRST KHTN (CN) VND,1043,0,20240131,MUA TREN SHOPEE,4900
e04e4d24-9608-4,51,73308bc6-747c-4e21-879d-0fbb0ae9e542,-1898136,20240126,20240131,CN,SAV,ONLI,TGTT,KKH,1019,VND,G270,TKTT FIRST KHTN (CN) VND,1007,0,20240114,MUA TREN SHOPEE,7311
276d4cbd-96f8-4,52,9e98c6b4-0016-498e-82db-bb828c7ce182,659668,20240103,20240131,CN,SAV,WWW,TGTT,KKH,1031,VND,G270,TKTT FIRST KHTN (CN) VND,1016,0,20240130,XEM PHIM CGV,5411
624471b7-9e0d-4,53,d80d950b-3ebd-4e09-bb01-a5a32ce980e5,-332896,20240121,20240131,CN,CK,ONLI,TGTT,KKH,1000,VND,G270,TKTT FIRST KHTN (CN) VND,1048,0,20240108,MUA TREN SHOPEE,4900
33bda296-a7e5-4,54,d0d6039e-44fc-4f33-ae84-3353aaf75503,1894899,20240121,20240131,CN,SAV,BRANCH,TGTT,KKH,1034,VND,G270,TKTT FIRST KHTN (CN) VND,1042,0,20240131,CUOC GRAB,5411
c9217f35-c52b-4,55,34e856d4-82bf-4b4b-bed3-921a1cda5b36,4142907,20240115,20240131,CN,CK,WWW,TGTT,KKH,1020,VND,G270,TKTT FIRST KHTN (CN) VND,1008,0,20240120,CHUYEN KHOAN QUA APP,4900
8c00cd85-1620-4,56,dd7a2b86-94b3-4e2e-a67a-136a22f9a661,-2994856,20240121,20240131,CN,SAV,ONLI,TGTT,KKH,1005,VND,G270,TKTT FIRST KHTN (CN) VND,1016,0,20240102,CUOC GRAB,4900
6ff6493d-409c-4,57,ce674a96-a98f-40ca-b650-bb243d2a4f6c,3211800,20240121,20240131,CN,SAV,ONLI,TGTT,KKH,1018,VND,G270,TKTT FIRST KHTN (CN) VND,1015,0,20240106,THANH TOAN XANH SM,4900
86b7e32d-638b-4,58,d30a379d-db7b-4324-b62c-333c27634ffb,4492657,20240125,20240131,CN,CK,MAPP,TGTT,KKH,1034,VND,G270,TKTT FIRST KHTN (CN) VND,1034,0,20240114,THANH TOAN XANH SM,5812
38098822-9446-4,59,6f055139-a3c5-4cc8-8658-f8a7eb25e0ac,-1263903,20240110,20240131,CN,SAV,ONLI,TGTT,KKH,1015,VND,G270,TKTT FIRST KHTN (CN) VND,1012,0,20240126,XEM PHIM CGV,5411
05e0d729-f31d-4,60,70f2faec-1425-40d5-a7d6-5cae80036dcd,-3863372,20240129,20240131,CN,SAV,WWW,TGTT,KKH,1012,VND,G270,TKTT FIRST KHTN (CN) VND,1011,0,20240101,BOOK PHONG AGODA,0000
0873d2ce-c1b5-4,61,7bd934f7-b1b6-422a-b2d3-9b80b9100895,3219111,20240121,20240131,CN,CK,ONLI,TGTT,KKH,1013,VND,G270,TKTT FIRST KHTN (CN) VND,1029,0,20240123,CUOC GRAB,5812
01894230-d7ba-4,62,68683530-e2c5-4b91-9bc1-b7b027fb130c,2010958,20240115,20240131,CN,CK,MAPP,TGTT,KKH,1009,VND,G270,TKTT FIRST KHTN (CN) VND,1002,0,20240125,BOOK PHONG AGODA,4121
a370d3f8-819d-4,63,546fdf7e-d428-44b2-9be9-4c0b3b3c8f66,-2872877,20240127,20240131,CN,CK,ONLI,TGTT,KKH,1012,VND,G270,TKTT FIRST KHTN (CN) VND,1004,0,20240106,CUOC GRAB,4121
204da8c3-507e-4,64,893ebbe0-ec47-4fa7-b80e-5eca2598033e,-547764,20240130,20240131,CN,CK,WWW,TGTT,KKH,1031,VND,G270,TKTT FIRST KHTN (CN) VND,1036,0,20240105,MUA TREN SHOPEE,7311
2b02c272-6957-4,65,f5805f0c-5b49-4495-866f-a18bbcaacef1,779922,20240127,20240131,CN,SAV,ONLI,TGTT,KKH,1029,VND,G270,TKTT FIRST KHTN (CN) VND,1012,0,20240128,THANH TOAN XANH SM,7311
1f15e210-294c-4,66,6732326c-439a-41db-985c-1d933d75caf0,-3301459,20240114,20240131,CN,SAV,MAPP,TGTT,KKH,1005,VND,G270,TKTT FIRST KHTN (CN) VND,1012,0,20240103,CUOC GRAB,5812
b7987eff-5231-4,67,0ccfb60f-2576-4348-a253-4481ad0c6bff,2149128,20240109,20240131,CN,CK,ONLI,TGTT,KKH,1012,VND,G270,TKTT FIRST KHTN (CN) VND,1027,0,20240126,CHUYEN KHOAN QUA APP,0000
1e7eae13-4025-4,68,fe546c94-2d8b-43ba-a5c4-aa246028ee90,1898827,20240129,20240131,CN,CK,MAPP,TGTT,KKH,1017,VND,G270,TKTT FIRST KHTN (CN) VND,1046,0,20240107,CHUYEN KHOAN QUA APP,7311
a08cdb90-f0af-4,69,ca31b964-ae21-4c33-a3b0-f2351cc80a7a,3871266,20240125,20240131,CN,CK,MAPP,TGTT,KKH,1017,VND,G270,TKTT FIRST KHTN (CN) VND,1043,0,20240127,MUA TREN SHOPEE,5411
223b7f6c-beec-4,70,44837295-eba2-43f0-a956-7deab5517424,672729,20240115,20240131,CN,SAV,ONLI,TGTT,KKH,1022,VND,G270,TKTT FIRST KHTN (CN) VND,1004,0,20240102,BOOK PHONG AGODA,5812
74290463-1388-4,71,81f6e62b-9d6a-40a1-99f0-ae650e20a635,743130,20240114,20240131,CN,CK,MAPP,TGTT,KKH,1035,VND,G270,TKTT FIRST KHTN (CN) VND,1019,0,20240117,MUA TREN SHOPEE,5812
53cde0c3-9f6d-4,72,2f604686-6bba-4650-8909-1833289c742c,1193873,20240115,20240131,CN,SAV,ONLI,TGTT,KKH,1027,VND,G270,TKTT FIRST KHTN (CN) VND,1027,0,20240127,BOOK PHONG AGODA,5812
63cab88a-e3d2-4,73,7cd72e19-e2ed-43e5-9ad8-303ddd0f7947,-2262167,20240127,20240131,CN,CK,MAPP,TGTT,KKH,1048,VND,G270,TKTT FIRST KHTN (CN) VND,1035,0,20240131,XEM PHIM CGV,4900
338493b5-a6e4-4,74,4a444c44-bb2c-4490-bfeb-11b04753046b,2586058,20240114,20240131,CN,SAV,MAPP,TGTT,KKH,1005,VND,G270,TKTT FIRST KHTN (CN) VND,1044,0,20240116,XEM PHIM CGV,5812
fa6788fd-b833-4,75,eeb4c2db-4d8b-4718-964f-0c22d318f7c9,1624992,20240110,20240131,CN,CK,ONLI,TGTT,KKH,1015,VND,G270,TKTT FIRST KHTN (CN) VND,1047,0,20240102,XEM PHIM CGV,7311
40ddbdcc-bc1c-4,76,5cd99066-0a11-4da9-96f9-1b95f32a6be3,3391456,20240112,20240131,CN,SAV,ONLI,TGTT,KKH,1024,VND,G270,TKTT FIRST KHTN (CN) VND,1017,0,20240120,THANH TOAN XANH SM,4900
7d6e0273-a474-4,77,18cfc2e3-1f76-459f-b906-a00171b37822,2685860,20240120,20240131,CN,CK,ONLI,TGTT,KKH,1011,VND,G270,TKTT FIRST KHTN (CN) VND,1022,0,20240112,CUOC GRAB,4121
f8483fe1-c8fc-4,78,7ccce7bb-8534-4e7f-9195-602c393e919d,1385722,20240114,20240131,CN,SAV,ONLI,TGTT,KKH,1041,VND,G270,TKTT FIRST KHTN (CN) VND,1026,0,20240120,BOOK PHONG AGODA,4900
a79d845a-5230-4,79,e2817a68-a106-4026-b013-bd20ea18bc08,-3391078,20240125,20240131,CN,CK,BRANCH,TGTT,KKH,1027,VND,G270,TKTT FIRST KHTN (CN) VND,1001,0,20240116,BOOK PHONG AGODA,4900
ebfde1b6-9f12-4,80,148159e3-46fb-4e86-b224-3e80bab2d982,4191473,20240127,20240131,CN,CK,MAPP,TGTT,KKH,1028,VND,G270,TKTT FIRST KHTN (CN) VND,1041,0,20240118,THANH TOAN XANH SM,0000
54dc88af-846e-4,81,7ccce7bb-8534-4e7f-9195-602c393e919d,-1327878,20240115,20240131,CN,SAV,BRANCH,TGTT,KKH,1026,VND,G270,TKTT FIRST KHTN (CN) VND,1039,0,20240130,XEM PHIM CGV,4722
75b56397-a610-4,82,4c9731fe-52de-46b3-a770-a82c390faf16,4642985,20240112,20240131,CN,SAV,ONLI,TGTT,KKH,1012,VND,G270,TKTT FIRST KHTN (CN) VND,1049,0,20240116,THANH TOAN XANH SM,7311
2a4e792c-5f32-4,83,8581778b-db73-4431-ada4-617a728e5006,-981291,20240129,20240131,CN,SAV,ONLI,TGTT,KKH,1015,VND,G270,TKTT FIRST KHTN (CN) VND,1030,0,20240120,MUA TREN SHOPEE,7311
8af01887-bd24-4,84,33b651b1-6a77-4076-9ffe-83f10ed5d958,-3540617,20240102,20240131,CN,SAV,ONLI,TGTT,KKH,1021,VND,G270,TKTT FIRST KHTN (CN) VND,1017,0,20240105,XEM PHIM CGV,4121
5135acc2-5c7d-4,85,2aa8684a-4b42-4baf-9c18-490271e17f56,3848397,20240119,20240131,CN,SAV,WWW,TGTT,KKH,1019,VND,G270,TKTT FIRST KHTN (CN) VND,1047,0,20240124,CUOC GRAB,5812
7b1a8cde-760c-4,86,e910e97d-9af6-44a2-a006-43faaa8b0d9d,2950587,20240117,20240131,CN,SAV,WWW,TGTT,KKH,1032,VND,G270,TKTT FIRST KHTN (CN) VND,1046,0,20240121,BOOK PHONG AGODA,7311
36830876-77c1-4,87,1afbdeac-f866-4cec-b8c6-ba2f63848881,2862960,20240115,20240131,CN,CK,MAPP,TGTT,KKH,1006,VND,G270,TKTT FIRST KHTN (CN) VND,1022,0,20240117,MUA TREN SHOPEE,5812
7a973aeb-9bde-4,88,fe531779-78b5-454a-84e5-62859e3cf95c,-4105892,20240127,20240131,CN,CK,MAPP,TGTT,KKH,1035,VND,G270,TKTT FIRST KHTN (CN) VND,1015,0,20240111,MUA TREN SHOPEE,7311
d380e7ea-5ca5-4,89,de0d0e35-8663-4dbb-9adc-74063c3426b8,3792798,20240123,20240131,CN,SAV,MAPP,TGTT,KKH,1043,VND,G270,TKTT FIRST KHTN (CN) VND,1025,0,20240114,XEM PHIM CGV,0000
7d24d1c4-fe8e-4,90,79bdf394-3800-437e-a3fc-e3b1ac885a8e,964006,20240110,20240131,CN,SAV,BRANCH,TGTT,KKH,1008,VND,G270,TKTT FIRST KHTN (CN) VND,1024,0,20240110,THANH TOAN XANH SM,0000
15a23c4a-5ba8-4,91,9e98c6b4-0016-498e-82db-bb828c7ce182,-296442,20240130,20240131,CN,CK,ONLI,TGTT,KKH,1010,VND,G270,TKTT FIRST KHTN (CN) VND,1036,0,20240123,BOOK PHONG AGODA,7311
74585060-47c7-4,92,b1fbeb1e-4bd2-4e62-a078-54bb72ba4717,4131716,20240111,20240131,CN,SAV,MAPP,TGTT,KKH,1024,VND,G270,TKTT FIRST KHTN (CN) VND,1034,0,20240124,XEM PHIM CGV,0000
0f0ebb95-bc2f-4,93,b57d6242-59e2-427a-a14b-ba3443c99f3e,1660413,20240114,20240131,CN,CK,ONLI,TGTT,KKH,1032,VND,G270,TKTT FIRST KHTN (CN) VND,1046,0,20240114,MUA TREN SHOPEE,0000
8ed8f991-a53c-4,94,a8eed07d-41a1-4da7-b1bb-069332b5328a,-3669691,20240109,20240131,CN,CK,ONLI,TGTT,KKH,1041,VND,G270,TKTT FIRST KHTN (CN) VND,1021,0,20240112,MUA TREN SHOPEE,4900
6c11b304-49fd-4,95,4a444c44-bb2c-4490-bfeb-11b04753046b,195371,20240129,20240131,CN,CK,MAPP,TGTT,KKH,1046,VND,G270,TKTT FIRST KHTN (CN) VND,1008,0,20240104,MUA TREN SHOPEE,4900
c5bbbe38-2628-4,96,10fa567b-7dcd-4719-861a-467aab73afea,1366165,20240103,20240131,CN,SAV,MAPP,TGTT,KKH,1019,VND,G270,TKTT FIRST KHTN (CN) VND,1033,0,20240101,MUA TREN SHOPEE,4900
549dfef9-f953-4,97,db8577a5-aa9e-4f5e-8737-46723b22afcf,3985506,20240124,20240131,CN,CK,MAPP,TGTT,KKH,1033,VND,G270,TKTT FIRST KHTN (CN) VND,1044,0,20240126,CUOC GRAB,4722
705ce429-8ba5-4,98,22d72abb-5eee-4b1a-a768-9150072337c1,-2201058,20240101,20240131,CN,SAV,ONLI,TGTT,KKH,1024,VND,G270,TKTT FIRST KHTN (CN) VND,1022,0,20240126,THANH TOAN XANH SM,4722
9efd2f49-1c73-4,99,ef7de5b1-72be-4ada-b7ff-b55ba0f3ae00,2942338,20240106,20240131,CN,SAV,MAPP,TGTT,KKH,1049,VND,G270,TKTT FIRST KHTN (CN) VND,1041,0,20240104,BOOK PHONG AGODA,4722
833ce2af-b49f-4,100,b4f4ea0d-0378-4959-a55f-17f137f63f02,2998129,20240106,20240131,CN,SAV,MAPP,TGTT,KKH,1043,VND,G270,TKTT FIRST KHTN (CN) VND,1026,0,20240126,THANH TOAN XANH SM,7311
187882f4-6d12-4,101,df0d0661-9782-4bd8-8e1c-4bf7e536ba62,-3719505,20240105,20240131,CN,CK,MAPP,TGTT,KKH,1014,VND,G270,TKTT FIRST KHTN (CN) VND,1009,0,20240104,XEM PHIM CGV,5812
cced3917-d014-4,102,66bf42c7-2729-416a-9c4a-aff8a95b3550,-4827668,20240104,20240131,CN,CK,ONLI,TGTT,KKH,1026,VND,G270,TKTT FIRST KHTN (CN) VND,1015,0,20240116,THANH TOAN XANH SM,7311
6f0c3f78-dacd-4,103,73308bc6-747c-4e21-879d-0fbb0ae9e542,814096,20240103,20240131,CN,CK,ONLI,TGTT,KKH,1049,VND,G270,TKTT FIRST KHTN (CN) VND,1003,0,20240105,XEM PHIM CGV,4722
4744e55f-6b05-4,104,cd24ea0e-9885-4985-b38f-89fcdb1eb05d,2894788,20240113,20240131,CN,SAV,BRANCH,TGTT,KKH,1032,VND,G270,TKTT FIRST KHTN (CN) VND,1030,0,20240116,CHUYEN KHOAN QUA APP,7311
04297683-33f8-4,105,928d1a97-82a2-476f-9fb6-32e11187075d,544308,20240130,20240131,CN,CK,MAPP,TGTT,KKH,1030,VND,G270,TKTT FIRST KHTN (CN) VND,1003,0,20240108,CHUYEN KHOAN QUA APP,4900
b4a9aa90-dadb-4,106,a35f90d4-ff2a-46ca-83e9-acaa6d8b1994,3133474,20240104,20240131,CN,CK,MAPP,TGTT,KKH,1014,VND,G270,TKTT FIRST KHTN (CN) VND,1046,0,20240120,XEM PHIM CGV,5812
e1d3571f-3d7f-4,107,546fdf7e-d428-44b2-9be9-4c0b3b3c8f66,1223031,20240123,20240131,CN,CK,WWW,TGTT,KKH,1012,VND,G270,TKTT FIRST KHTN (CN) VND,1049,0,20240117,THANH TOAN XANH SM,7311
c46d18c5-cc16-4,108,0a963850-5030-417f-adb2-e8f4a15d39be,1532923,20240130,20240131,CN,CK,ONLI,TGTT,KKH,1040,VND,G270,TKTT FIRST KHTN (CN) VND,1013,0,20240117,XEM PHIM CGV,5812
